"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670425","Gut microbiome species presence (Eubacterium R sp000436835, GCA_000436835.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670425","Gut microbiome species presence (Eubacterium R sp000436835, GCA_000436835.1)","EUR","GRCh37","exploratory",1e-05,152,152,145,19,19.5833469750835,21.410574159157,""
"microbiome_2026","GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)","EUR","GRCh37","primary",5e-08,39,39,39,1,44.8239256771703,44.8239256771703,""
"microbiome_2026","GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)","EUR","GRCh37","exploratory",1e-05,106,106,103,17,19.6035196195006,22.3081611926981,""
"microbiome_2026","GCST90670427","Gut microbiome species presence (Phascolarctobacterium faecium, GCF_003269275.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,31.1911712353151,31.1911712353151,""
"microbiome_2026","GCST90670427","Gut microbiome species presence (Phascolarctobacterium faecium, GCF_003269275.1)","EUR","GRCh37","exploratory",1e-05,176,176,174,22,19.4837057556171,22.1087398563237,""
"microbiome_2026","GCST90670428","Gut microbiome species abundance (Faecousia sp000434635, GCA_000434635.1)","EUR","GRCh37","primary",5e-08,3,3,3,1,34.1604826675849,34.1604826675849,""
"microbiome_2026","GCST90670428","Gut microbiome species abundance (Faecousia sp000434635, GCA_000434635.1)","EUR","GRCh37","exploratory",1e-05,126,126,126,21,19.5520385024758,22.0907521144688,""
"microbiome_2026","GCST90670429","Gut microbiome species abundance (Barnesiella intestinihominis, GCF_000296465.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670429","Gut microbiome species abundance (Barnesiella intestinihominis, GCF_000296465.1)","EUR","GRCh37","exploratory",1e-05,47,47,46,13,19.6685210380448,21.5358629206218,""
"microbiome_2026","GCST90670430","Gut microbiome species presence (CAG-349 sp003539515, GCA_022009995.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670430","Gut microbiome species presence (CAG-349 sp003539515, GCA_022009995.1)","EUR","GRCh37","exploratory",1e-05,67,67,67,16,19.5818081729532,21.9937542811076,""
"microbiome_2026","GCST90670431","Gut microbiome species abundance (Akkermansia muciniphila, GCF_000020225.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670431","Gut microbiome species abundance (Akkermansia muciniphila, GCF_000020225.1)","EUR","GRCh37","exploratory",1e-05,58,58,58,19,19.6249,21.7792322623853,""
"microbiome_2026","GCST90670432","Gut microbiome species presence (Phocaeicola plebeius A, GCF_003437535.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670432","Gut microbiome species presence (Phocaeicola plebeius A, GCF_003437535.1)","EUR","GRCh37","exploratory",1e-05,65,65,63,11,19.6444268888251,21.1968310546474,""
"microbiome_2026","GCST90670433","Gut microbiome species abundance (Clostridium Q fessum, GCF_003024715.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670433","Gut microbiome species abundance (Clostridium Q fessum, GCF_003024715.1)","EUR","GRCh37","exploratory",1e-05,95,95,95,22,19.4098433606266,20.8524279277779,""
"microbiome_2026","GCST90670434","Gut microbiome species presence (Lachnospira sp000436475, GCA_000436475.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670434","Gut microbiome species presence (Lachnospira sp000436475, GCA_000436475.1)","EUR","GRCh37","exploratory",1e-05,14,14,14,6,19.6824998668016,21.1955342966889,""
"microbiome_2026","GCST90670435","Gut microbiome species abundance (CAG-115 sp003531585, GCA_003531585.1)","EUR","GRCh37","primary",5e-08,8,8,8,1,36.587745389649,36.587745389649,""
"microbiome_2026","GCST90670435","Gut microbiome species abundance (CAG-115 sp003531585, GCA_003531585.1)","EUR","GRCh37","exploratory",1e-05,122,122,119,22,19.7136,22.0058383567966,""
